  2509.17    0.12048E-15    0.89252E-17    0.22186-159    0.16436-160    0.78314E-15
  3241.90    0.46006E-14    0.64053E-15    0.36765E-14    0.51188E-15    0.21978E-14
  3245.29    0.46172E-14    0.64431E-15    0.42776E-14    0.59691E-15    0.22045E-14
  3248.68    0.46002E-14    0.64338E-15    0.43265E-14    0.60509E-15    0.22113E-14
  3252.08    0.45974E-14    0.64444E-15    0.36361E-14    0.50969E-15    0.22180E-14
  3255.48    0.46608E-14    0.65480E-15    0.40062E-14    0.56283E-15    0.22247E-14
  3258.89    0.47257E-14    0.66541E-15    0.45474E-14    0.64030E-15    0.22315E-14
  3262.30    0.47873E-14    0.67560E-15    0.44289E-14    0.62502E-15    0.22382E-14
  3265.71    0.48861E-14    0.69109E-15    0.52819E-14    0.74707E-15    0.22450E-14
  3269.13    0.49593E-14    0.70302E-15    0.55330E-14    0.78434E-15    0.22517E-14
  3272.55    0.50275E-14    0.71429E-15    0.57235E-14    0.81318E-15    0.22585E-14
  3275.98    0.51131E-14    0.72807E-15    0.47073E-14    0.67028E-15    0.22652E-14
  3279.40    0.51935E-14    0.74118E-15    0.44553E-14    0.63583E-15    0.22719E-14
  3282.83    0.52468E-14    0.75046E-15    0.41468E-14    0.59312E-15    0.22787E-14
  3286.27    0.53444E-14    0.76612E-15    0.43707E-14    0.62655E-15    0.22854E-14
  3289.71    0.54622E-14    0.78475E-15    0.49996E-14    0.71830E-15    0.22922E-14
  3293.15    0.55563E-14    0.80006E-15    0.59380E-14    0.85502E-15    0.22989E-14
  3296.59    0.56328E-14    0.81288E-15    0.54422E-14    0.78537E-15    0.23057E-14
  3300.04    0.57446E-14    0.83086E-15    0.51288E-14    0.74178E-15    0.23125E-14
  3303.50    0.58404E-14    0.84659E-15    0.48316E-14    0.70036E-15    0.23192E-14
  3306.95    0.59148E-14    0.85927E-15    0.39829E-14    0.57862E-15    0.23260E-14
  3310.41    0.60502E-14    0.88089E-15    0.42233E-14    0.61489E-15    0.23327E-14
  3313.88    0.61358E-14    0.89532E-15    0.46166E-14    0.67364E-15    0.23395E-14
  3317.34    0.61815E-14    0.90399E-15    0.54502E-14    0.79705E-15    0.23462E-14
  3320.81    0.62641E-14    0.91810E-15    0.60044E-14    0.88003E-15    0.23530E-14
  3324.29    0.63669E-14    0.93522E-15    0.54440E-14    0.79966E-15    0.23597E-14
  3327.77    0.64853E-14    0.95471E-15    0.48286E-14    0.71083E-15    0.23665E-14
  3331.25    0.65811E-14    0.97095E-15    0.54849E-14    0.80922E-15    0.23732E-14
  3334.73    0.66387E-14    0.98161E-15    0.53295E-14    0.78803E-15    0.23800E-14
  3338.22    0.66723E-14    0.98874E-15    0.60886E-14    0.90224E-15    0.23867E-14
  3341.72    0.66944E-14    0.99419E-15    0.67640E-14    0.10045E-14    0.23935E-14
  3345.21    0.68023E-14    0.10124E-14    0.58988E-14    0.87796E-15    0.24002E-14
  3348.71    0.68954E-14    0.10285E-14    0.67508E-14    0.10070E-14    0.24070E-14
  3352.22    0.69243E-14    0.10351E-14    0.68527E-14    0.10244E-14    0.24137E-14
  3355.72    0.69982E-14    0.10484E-14    0.62539E-14    0.93694E-15    0.24205E-14
  3359.24    0.70522E-14    0.10588E-14    0.62856E-14    0.94374E-15    0.24272E-14
  3362.75    0.70953E-14    0.10676E-14    0.60824E-14    0.91523E-15    0.24339E-14
  3366.27    0.72127E-14    0.10877E-14    0.65803E-14    0.99231E-15    0.24407E-14
  3369.79    0.72512E-14    0.10959E-14    0.73697E-14    0.11138E-14    0.24474E-14
  3373.32    0.72584E-14    0.10993E-14    0.73152E-14    0.11079E-14    0.24542E-14
  3376.85    0.73667E-14    0.11182E-14    0.73526E-14    0.11160E-14    0.24609E-14
  3380.38    0.74786E-14    0.11376E-14    0.71986E-14    0.10950E-14    0.24676E-14
  3383.92    0.76056E-14    0.11594E-14    0.67609E-14    0.10307E-14    0.24744E-14
  3387.46    0.77540E-14    0.11846E-14    0.71258E-14    0.10886E-14    0.24811E-14
  3391.00    0.78803E-14    0.12065E-14    0.71140E-14    0.10892E-14    0.24878E-14
  3394.55    0.79743E-14    0.12235E-14    0.75760E-14    0.11624E-14    0.24946E-14
  3398.10    0.82420E-14    0.12674E-14    0.76698E-14    0.11794E-14    0.25013E-14
  3401.66    0.85379E-14    0.13157E-14    0.80907E-14    0.12468E-14    0.25080E-14
  3405.21    0.88109E-14    0.13607E-14    0.82179E-14    0.12691E-14    0.25147E-14
  3408.78    0.89972E-14    0.13924E-14    0.85035E-14    0.13160E-14    0.25214E-14
